,city,state,restaurant,calification,number_of_reviwes,ranking,address,web_site,latitude,longitude
0,Ciudad de México,, Balta,5.0 ,479 ,#1,"Avenida Paseo de La Reforma 297 Colonia Cuauhtémoc, Ciudad de México 06500 México",http://www.sofitel-mexico-city.com/restaurants/balta-restaurant/,19.428432,-99.16592
1,Ciudad de México,, La Mansion Marriott Reforma,5.0 ,992 ,#2,"Paseo de la Reforma 276 Col. Juarez, Mexico City Marriott Reforma Hotel, Ciudad de México 06600 México",http://www.facebook.com/mansionmarriottreforma,19.428345,-99.16426
2,Ciudad de México,, Condimento Restaurant,5.0 ,715 ,#3,"Avenida Paseo de La Reforma 276 Mexico City Marriott Reforma Hotel, Ciudad de México 06600 México",http://www.marriott.com/hotels/hotel-information/restaurant/MEXMC&scid=d42e66eb-35c2-4d9c-9219-ae39f3a2ca9f,19.427828,-99.164024
3,Ciudad de México,, La Distral,5.0 ,382 ,#4,"Avenida Paseo de La Reforma 80 En el Hotel Fiesta Americana Reforma, Ciudad de México 06600 México",http://www.fiestamericana.com/hoteles-y-resorts/fiesta-americana-reforma-ciudad-de-mexico/hotel-dining/la-distral,19.433002,-99.15458
4,Ciudad de México,, Restaurante Condimento Emporio Reforma,5.0 ,502 ,#5,"Av. Paseo De La Reforma 124, Col. Juárez Piso 1, Ciudad de México 06600 México",http://hotelesemporio.com/hoteles/emporio-ciudad-de-mexico/,19.431667,-99.157
5,Ciudad de México,, Sonora Grill Coapa,5.0 ,734 ,#6,"Calzada Acoxpa 610, Colonia Villa Coapa, Tlalpan, Ciudad de México 14390 México",http://sonoragrill.com.mx,19.294357,-99.12684
6,Ciudad de México,, Parole Polanco,5.0 ,"1,454 ",#7,"Av. Emilio Castelar 163, Colonia Polanco III, Ciudad de México 11540 México",http://parole.mx/en/location-cdmx-restaurant,19.430412,-99.1994
7,Ciudad de México,, Taquería y Restaurante Takotl,5.0 ,148 ,#8,"Avenida Insurgentes sur 275 Roma Nte., Cuauhtémoc, Ciudad de México 06700 México",http://linkreview.biz/mx/takotl,19.416248,-99.16546
8,Ciudad de México,, Zefiro,5.0 ,819 ,#9,"San Jerónimo 24 Centro Historico, Ciudad de México 06080 México",http://www.elclaustro.edu.mx/zefiro/,19.427332,-99.1382
9,Ciudad de México,, La Vicenta,5.0 ,666 ,#10,"Calzada Vallejo 1090 Parque Vía Vallejo, nivel 2. Sta  Cruz de Las Salinas Azcapotzalco, Ciudad de México 02340 México",http://lavicenta.com.mx/,19.4866,-99.152115
10,Ciudad de México,, Animal,5.0 ,500 ,#11,"Calle Calderón de la Barca 108 Polanco III Secc, Miguel Hidalgo, Ciudad de México 11540 México",http://costeno.com/animal,19.432081,-99.19929
11,Ciudad de México,, Parrilla Urbana División del Norte,4.5 ,653 ,#12,"Avenida Division Del Norte, 911 Heriberto Frias, Ciudad de México 03100 México",http://parrillaurbana.com.mx/,19.393099,-99.16061
12,Ciudad de México,, Sonora Grill Narvarte,5.0 ,399 ,#13,"Calle Juan Sanchez Azcona No. 529 Esq. Diagonal San Antonio, Col. Narvarte, Ciudad de México 03020 México",http://sonoragrill.com.mx/,19.393164,-99.16072
13,Ciudad de México,, Cityzen Rooftop Kitchen,5.0 ,"1,048 ",#14,"Avenida Paseo de La Reforma 297 Sofitel Mexico City, Ciudad de México 06500 México",http://www.sofitel-mexico-city.com/restaurants/cityzen-rooftop/,19.428486,-99.166
14,Ciudad de México,, Ilios Greek Restaurant Polanco,5.0 ,378 ,#15,"Avenida Presidente Masaryk, 311 Polanco, Ciudad de México 11550 México",http://iliosrestaurante.com.mx/cdmx,19.431807,-99.19404
15,Ciudad de México,, Porfirio's Coapa,5.0 ,627 ,#16,"Calzada Acoxpa # 610 Centro Comercial Gran Terraza Coapa locales 101,102,103, Ciudad de México 14390 México",http://porfirios.com.mx/,19.294926,-99.12639
16,Ciudad de México,, Taboo Polanco,5.0 ,658 ,#17,"Av. Presidente Masaryk 294, Colonia Polanco IV, Ciudad de México 11550 México",http://taboorestaurant.com.mx/en/reservations/cdmx-restaurants,19.431421,-99.193085
17,Ciudad de México,, Cambalache Plaza Oasis,4.5 ,740 ,#18,"Avenida Miguel Ángel De Quevedo 227 Plaza Oasis (Planta baja, frente la fuente), Ciudad de México 04310 México",http://www.cambalacherestaurantes.com/#coyoacan,19.344442,-99.17947
18,Ciudad de México,, Almara,5.0 ,681 ,#19,"Hamburgo 195, Juárez, Cuauhtémoc Hotel Galería Plaza Reforma, Ciudad de México 06600 México",http://www.almara.rest,19.424809,-99.16803
19,Ciudad de México,, KYU MÉXICO,5.0 ,354 ,#20,"Calle Goldsmith Polanco III Secc. 66 Miguel Hidalgo, Ciudad de México 11540 México",http://www.kyumexico.com,19.431955,-99.20089
20,Ciudad de México,, Chambao Polanco,5.0 ,428 ,#21,"Av. Pdte. Masaryk 460, Polanco, Polanco III Secc, Miguel Hidalgo, Ciudad de México 11550 México",http://chambao.com.mx/es/reservaciones/polanco,19.431862,-99.20141
21,Ciudad de México,, Quattro Gastronomía Italiana,4.5 ,724 ,#22,"AVENIDA SANTA FE 160 AVENIDA SANTA FE 160, Ciudad de México 01376 México",http://www.quattro.com.mx/,19.367119,-99.26036
22,Ciudad de México,, Salute Food & Bar,4.5 ,"1,196 ",#23,"Terminal 2, Aeropuerto Internacional De La Ciudad De Mexico, Ciudad de México 15620 México",http://www.grupobgm.com.mx,19.423998,-99.07838
23,Ciudad de México,, Pubbelly Masaryk,4.5 ,422 ,#24,"Av. Pdte. Masaryk 275-Local A6 Polanco IV Secc, Ciudad de México 11550 México",http://pubbelly.mx/,19.431568,-99.19219
24,Ciudad de México,, Ryoshi Masaryk,5.0 ,473 ,#25,"Av Pdte. Masaryk 111 Col. Polanco, Ciudad de México 11560 México",http://www.ryoshi.mx/,19.431684,-99.18634
25,Ciudad de México,, Harry's Polanco,4.5 ,"1,189 ",#26,"Avenida Presidente Masaryk 264 Polanco, Ciudad de México 11560 México",http://harrys.com.mx/,19.431606,-99.186584
26,Ciudad de México,, Dalis pizzeria italiana,5.0 ,330 ,#27,"Calle Emiliano Zapata, Ciudad de México 06000 México",http://www.facebook.com/DALIS-Pizzeria-Italiana-175947072830562/,19.433023,-99.12629
27,Ciudad de México,, Mochomos,4.5 ,423 ,#28,"Avenida Paseo de Las Palmas no. 781 Sección 11560, Ciudad de México 11000 México",http://mochomos.mx,19.429089,-99.216774
28,Ciudad de México,, Cambalache Escenaria,4.5 ,211 ,#29,"AV San Jeronimo 263 Dentro de Plaza Escenaria, Ciudad de México 01090 México",http://www.cambalacherestaurantes.com,19.33526,-99.19907
29,Ciudad de México,, CúA Culinary Artisans Restaurant,5.0 ,175 ,#30,"Av. Santa Fe # 160 Del. Álvaro Obregón JW Marriott Hotel Mexico City Santa Fe, Ciudad de México 01219 México",http://www.espanol.marriott.com/hotels/hotel-information/restaurant/mexsf-jw-marriott-hotel-mexico-city-santa-fe/,19.367128,-99.26046
30,Guadalajara,, Restaurante SSAM,5.0 ,"1,050 ",#1,"Morelos 2122, Guadalajara 44600 México",http://www.facebook.com/RESTAURANTESSAMGDL/,20.675816,-103.37889
31,Guadalajara,, Octo Pescadería,5.0 ,402 ,#2,"Lerdo de Tejada 2420 Entre Francisco Javier Gamboa y Calderon de la Barca, Guadalajara 44130 México",https://www.facebook.com/Octo-Pescader%C3%ADa-101809918565327/,20.670938,-103.37811
32,Guadalajara,, Porfirio's Guadalajara,5.0 ,"1,464 ",#3,"Calle Sao Paulo 2334 A, Col. Providencia, Punto Sao Paulo Punto Sao Paulo, Guadalajara 44630 México",http://porfirios.com.mx/,20.70163,-103.37652
33,Guadalajara,, Gyropolus,5.0 ,79 ,#4,"Calle Manuel López Cotilla 1370 Local 05, Casa Patrice, Col Americana, Guadalajara 44160 México",https://www.gyropolus.com/,20.673956,-103.36651
34,Guadalajara,, Bruna,5.0 ,"3,033 ",#5,"Calle Lerdo de Tejada 2418 Colonia Lafayette, Guadalajara 44130 México",http://www.facebook.com/brunagdl/,20.670849,-103.37795
35,Guadalajara,, D'Franck,5.0 ,247 ,#6,"Av. Adolfo Lopez Mateos Norte 2405, Italia Providencia. Centro Comercial Midtown Jalisco, Guadalajara 44648 México",http://www.dfranck.com.mx,20.693823,-103.37552
36,Guadalajara,, Sagrantino,4.5 ,"1,582 ",#7,"Diagonal Golfo de Cortes 4152 Fraccionamiento Monraz, Guadalajara 44670 México",http://www.sagrantino.mx,20.68131,-103.39548
37,Guadalajara,, Hato Ramen,4.5 ,453 ,#8,"Americana 44160, Guadalajara, Jal. MX Calle Efrain Gonzalez Luna 2079 Entre Marsella y Av. Chapultepec, Guadalajara 44160 México",http://hato.mx,20.669739,-103.36984
38,Guadalajara,, Cuerno Andares,5.0 ,301 ,#9,"Blvrd. Puerta De Hierro 4965, Puerta De Hierro. Plaza Andares, Guadalajara 44100 México",http://cuerno.mx/,20.711157,-103.41264
39,Guadalajara,, El Italiano,5.0 ,"2,193 ",#10,"Golfo de Cortes No.4134, Fracc. Monraz C.P., Guadalajara 44670 México",http://www.elitaliano.mx,20.680569,-103.39462
40,Guadalajara,, Outback Steakhouse,4.5 ,556 ,#11,"Avenida Vallarta #2340 En Contra-Esquina de Centro Magno, Guadalajara 44130 México",http://www.outback-mexico.com/,20.674513,-103.37979
41,Guadalajara,, Sonora Grill La Rioja,4.5 ,222 ,#12,"Av. Lopez Mateos 7000 Fraccionamiento La Rioja, Guadalajara 45645 México",http://www.sonoragrill.com.mx/,20.568687,-103.45782
42,Guadalajara,, Sonora Grill Terranova,4.5 ,170 ,#13,"Ave. Terranova 1204 Lomas De Providencia, Guadalajara 44670 México",http://www.sonoragrill.com.mx,20.694925,-103.38612
43,Guadalajara,, Allium,4.5 ,444 ,#14,"Lopez Cotilla 1752-A Esquina con Simon Bolivar, Guadalajara 44150 México",http://www.allium.com.mx,20.67369,-103.37268
44,Guadalajara,, Brick Steakhouse,4.5 ,265 ,#15,"Av. Américas#1254, Guadalajara 44610 México",https://www.facebook.com/pages/category/Restaurant/BRICK-STEAK-HOUSE-196365804506826/,20.697683,-103.37346
45,Guadalajara,," La Tequila, Cocina de México",4.5 ,"2,254 ",#16,"Avenida Mexico # 2830 Colonia Ladrón de Guevara, Guadalajara 44689 México",http://www.latequila.mx,20.67989,-103.3882
46,Guadalajara,, Magno Brasserie,4.5 ,325 ,#17,"Jose Guadalupe Zuno #2061, Guadalajara 44140 México",http://magnobrasserie.com/,20.670475,-103.3696
47,Guadalajara,, I Latina,4.5 ,905 ,#18,"Inglaterra 3128 Col. Vallarta, Guadalajara 44220 México",http://www.ilatinarest.com/,20.671963,-103.39228
48,Guadalajara,, anita li,4.5 ,642 ,#19,"Avenida Inglaterra 3100, Guadalajara 44110 México",http://www.facebook.com/anitaligdl/,20.671719,-103.39174
49,Guadalajara,, Casa Bariachi,4.5 ,"1,271 ",#20,"Avenida Ignacio L. Vallarta 2221 Colonia Arcos Vallarta, Guadalajara 44130 México",http://www.casa-bariachi.com,20.67409,-103.378426
50,Guadalajara,, Pig's Pearls,4.5 ,"1,107 ",#21,"Calle General Coronado 79 Entre Hidalgo y Justo Sierra, Guadalajara 44100 México",http://pigspearls.com/,20.67741,-103.36518
51,Guadalajara,, Kamilos 333,4.5 ,362 ,#22,"J. Clemente Orozco 333, Guadalajara 44600 México",http://www.kamilos333.com/,20.68162,-103.36634
52,Guadalajara,, Suehiro,4.5 ,440 ,#23,"Avenida de La Paz 1701, Guadalajara 44160 México",http://www.suehiro.com.mx/,20.670797,-103.36297
53,Guadalajara,, Boulangerie Central,4.5 ,331 ,#24,"Avenida Morelos 1984 Entre Amado Nervo Y Aurelio L. Gallardo, Guadalajara 44600 México",http://www.BoulangerieC.com,20.675735,-103.37571
54,Guadalajara,, El Chololo,4.5 ,305 ,#25,"Carretera entre Guadalajara y Chapala, Guadalajara México",http://birrieriachololocampestre.com.mx,20.484423,-103.27039
55,Guadalajara,, La Tomate Taqueria,4.5 ,337 ,#26,"Av. Chapultepec # 381 Esquina Guadalupe Zuno, Guadalajara México",http://www.facebook.com/pages/La-tomate-taqueria-after-barra-y-sabor/172278736138360,20.670393,-103.36838
56,Guadalajara,, Los Chilaquiles Restaurante,4.5 ,"1,404 ",#27,"Avenida Lazaro Cardenas #2729 Enfretito de la Autónoma, Guadalajara 44920 México",http://www.loschilaquiles.com/,20.698494,-103.41581
57,Guadalajara,, CABANNA,4.5 ,337 ,#28,"Avenida Mexico 2972 Entre Terranova y Galería Del Calzado, Guadalajara 44680 México",http://www.cabanna.com.mx,20.679935,-103.39073
58,Guadalajara,, Asador La Vaca Argentina,4.5 ,"1,073 ",#29,"Calle Tomas v. Gomez # 25 Colonia Ladron de Guevara, Guadalajara 44130 México",http://www.lavaca-argentina.com,20.67623,-103.38274
59,Guadalajara,, La Chata de Guadalajara,4.5 ,"2,505 ",#30,"Calle Ramon Corona 126, Guadalajara 44100 México",http://www.lachata.com.mx,20.67477,-103.34644
60,Cancún,, Divina Carne,5.0 ,"1,095 ",#1,"Blvd. Luis Donaldo Colosio Plaza Pabellón Cumbres, Cancún 77560 México",https://www.facebook.com/divinacarnecun/,21.11117,-86.8401
61,Cancún,, Restaurante Careyes,5.0 ,"3,423 ",#2,"Boulevard Kukulkan, Km 4,5 Zona Hotelera, Cancún 77500 México",http://oasishoteles.com/en/restaurants/careyes,21.083757,-86.77237
62,Cancún,, Abolengo Cancun,5.0 ,632 ,#3,"Boulevard Kukulkan, Km 9, Zona Hotelera, Cancún, Cancún 77500 México",http://mandalatickets.com/en/cancun/disco/abolengo,21.133568,-86.74635
63,Cancún,, Umami,5.0 ,"1,379 ",#4,"Blvd. Kukulkan, Manzana 52, Km 11.5 Zona Hotelera, Cancún 77500 México",https://www.nyxhotels.com/restaurante/umami/,21.114859,-86.758736
64,Cancún,, Nicoletta | Modern Italian Kitchen Cancún,5.0 ,614 ,#5,"Blvd. Kukulcan Km. 13.5, Zona Hotelera, Cancún 77500 México",https://nicolettarestaurant.com/cancun,21.099419,-86.76603
65,Cancún,, Kai,5.0 ,"1,181 ",#6,"Plaza La Isla No 2 Blvd. Kukulcan Km 12.5, Cancún 77504 México",http://www.kai.restaurant/,21.112602,-86.76324
66,Cancún,, The White Box,5.0 ,"2,722 ",#7,"Hotel Grand Oasis Cancun Km. 16. 5, Blvd. Kukulcan, Cancún 77500 México",http://oasishoteles.com/en/restaurants/the-white-box,21.14421,-86.78522
67,Cancún,, Mumma Rooftop Bar,5.0 ,272 ,#8,"Avenida Carlos Nader, SM 2A, MZ 04, Lote 27, Piso 3 Edificio Nomads Hotel, Hostel & Rooftop Pool, Cancún 77500 México",,21.165379,-86.82376
68,Cancún,, Restaurante Cüa,5.0 ,421 ,#9,"Boulevard Kukulkan Retorno Gucumatz Km 17, Cancún México",http://www.hotelesemporio.com,21.073153,-86.77527
69,Cancún,, Restaurante Käajal,5.0 ,304 ,#10,"Boulevard Kukulcán Km 1.5 Zona Hotelera, Hotel Renaissance Cancun., Cancún 77500 México",http://www.espanol.marriott.com/hotels/fact-sheet/travel/cunbr-renaissance-cancun-resort-and-marina/,21.161716,-86.80688
70,Cancún,, Place de Paris,5.0 ,360 ,#11,"Avenida Palenque Manzana 2, Lote 2 local 1, Cancún 77508 México",http://placedeparis.com/,21.162987,-86.83939
71,Cancún,, Restaurante Chianti,5.0 ,"1,856 ",#12,"Boulevard Kukulcan Mz 52 Km 11.5 Zona Hotelera, Hotel NYX, Cancún 77500 México",http://www.nyxhotels.com/restaurante/chianti/,21.114496,-86.75898
72,Cancún,, Harry's Cancun,5.0 ,"8,023 ",#1,"Blvd. Kukulcan Km. 14.2 No. 1, Zona Hotelera, Cancún 77504 México",https://harrys.com.mx/restaurante-cancun/,21.09272,-86.77086
73,Cancún,, Cenacolo Zona Hotelera,4.5 ,"2,008 ",#13,"Blvd Kukulcan ZH km 12.6 Zona Hotelera, Cancún 77500 México",https://cenacolo.com.mx/restaurante/laguna-cancun/,21.097334,-86.76875
74,Cancún,, Restaurante Benazuza,5.0 ,"2,381 ",#14,"Km 16.5 Blvd Kukulcan, Cancún 77500 México",http://oasishoteles.com/en/restaurants/benazuza,21.078379,-86.77498
75,Cancún,, Bacoli Tratoria,5.0 ,914 ,#15,"Boulevard Kukulcan Km 17, Emporio Hotels & Resorts, Cancún 77500 México",http://www.hotelesemporio.com/cancun-restaurantes,21.07327,-86.77631
76,Cancún,, Carajillo Cancún,5.0 ,135 ,#16,"Blvd. Kukulcan Km. 14.7, Zona Hotelera Cancún, Q.r., Cancún 77500 México",http://carajillomx.com/,21.087545,-86.77352
77,Cancún,, Funky Geisha Cancun,5.0 ,822 ,#17,"Blvd. Kukulcan Zona Hotelera Km 15, Cancún 77500 México",http://funkygeisha.com.mx/en/sushi-cancun,21.085625,-86.77428
78,Cancún,, Sea & Stones,4.5 ,380 ,#18,"Blvd. Kukulcan KM 20 The Westin Resort & Spa, Cancún 77500 México",http://www.marriott.com/hotels/hotel-information/restaurant/cunvb-the-westin-resort-and-spa-cancun/,21.039408,-86.78237
79,Cancún,, Restaurante Mediterráneo Cancún,5.0 ,109 ,#2,"Blvd. Kukulcan Km 9, Punta Cancun, Zona Hotelera Zona Hotelera, Zona Hotelera, Cancún 77500 México",,21.136497,-86.74551
80,Cancún,, El Oasis Mariscos,5.0 ,"1,067 ",#19,"Av. Yaxchilan, SM 17, L2 Cerca de Costco, Cancún 77505 México",http://www.eloasismariscos.com/,21.148228,-86.83416
81,Cancún,, Marinero's,4.5 ,"2,065 ",#20,"Boulevard Kukulcan Km. 9 En frente del Centro de Convenciones, Cancún 77500 México",http://www.facebook.com/lovemarineros,21.134483,-86.748055
82,Cancún,, Mamazzita Cancun,5.0 ,235 ,#21,"Blvd. Kukulcan Km. 15 | Zona Hotelera, Cancún 77504 México",http://mamazzita.com.mx/en/reservations/cancun,21.086723,-86.77373
83,Cancún,, Hiromi,5.0 ,"1,136 ",#22,"Boulevard Kukulkan Km 1,5 Zona Hotelera, Marina Town Center, Local R01, Cancún 77500 México",http://www.hiromi.com.mx/,21.16145,-86.80802
84,Cancún,, Cocoa Grill & Seafood Restaurante,5.0 ,171 ,#23,"Blvd. Kukulcan Km 4.5 En Grand Oasis, Cancún 77500 México",http://www.oasishoteles.com,21.143291,-86.78633
85,Cancún,, Chambao Cancun,5.0 ,"1,524 ",#24,"Blvd. Kukulcan Km. 15 Zona Hotelera, Cancún 77500 México",http://chambao.com.mx/en/reservations/cancun,21.086191,-86.773994
86,Cancún,, Hacienda el Mortero Restaurant,4.5 ,"1,173 ",#25,"Paseo Kukulcan Km. 9.5, Cancún 77500 México",http://www.restaurantehaciendaelmortero.com,21.133698,-86.74624
87,Cancún,, Tora Cancun,5.0 ,"3,126 ",#26,"Blvd. Kukulcan Zona Hotelera Km 15, Cancún 77500 México",http://torarestaurant.com.mx/en/places/cancun-restaurants,21.085003,-86.774414
88,Cancún,, Señor Frogs,5.0 ,"1,132 ",#27,"Boulevard Kukulcan Km. 9.5 Zona Hotelera, Cancún 77500 México",http://senorfrogs.com/cancun,21.132828,-86.747665
89,Cancún,, CAO Modern Mexican Kitchen,5.0 ,138 ,#28,"Marina Puerto Cancun, Cancún 77504 México",https://caorestaurante.com.mx/,21.161432,-86.80791
